2 7
3 7
4 7
5 7
6 7
7 5
7 6
7 4
7 7
10 7
11 7
12 7
13 7
14 5
14 6
14 7
14 4
16 7
17 7
18 7
19 7
20 7
21 5
21 7
21 4
21 6
22 7
23 7
24 7
25 7
26 7
27 7
28 7
28 4
28 5
28 6
29 7
30 7
31 7
32 7
33 7
34 7
35 4
35 6
35 7
35 5
36 7
37 7
38 7
39 7
40 7
41 7
42 7
42 4
42 6
42 5
43 7
44 7
45 7
46 7
47 7
48 7
49 5
49 6
49 4
49 7
51 7
52 7
53 7
54 7
55 7
56 4
56 7
56 3
56 5
56 6
59 7
60 7
61 7
62 7
63 2
63 5
63 4
63 6
63 3
63 7
66 7
67 7
68 7
69 7
70 5
70 4
70 3
70 6
70 2
70 7
73 7
74 7
75 7
76 7
77 4
77 6
77 5
77 7
77 3
77 2
79 7
80 7
81 7
82 7
83 7
84 4
84 7
84 6
84 3
84 2
84 5
